- User-space buf. size: 100
- syscall return val:   335
- User-space buf. size: 200
- syscall return val:   335
- User-space buf. size: 400
- syscall return val:   335
--- OK ---

#comm,pid,ppid,fcldpid,nsblpid,nvcsw,nivcsw,stime
-----sh,4489,3505,4490,0,2,0,1149
------cpuUsage.sh,4490,4489,4493,0,5,0,1149
-------sleep,4493,4490,0,0,1,0,1149
--fwupd,4094,1,0,0,1136,44,1050
-kthreadd,2,0,3,0,265,7,0
--pool_workqueue_,3,2,0,4,5,0,0
--kworker/R-rcu_g,4,2,0,5,2,0,0
--kworker/R-sync_,5,2,0,6,2,0,0
--kworker/R-kvfre,6,2,0,7,2,0,0
--kworker/R-slub_,7,2,0,8,2,0,0
--kworker/R-netns,8,2,0,10,2,0,0
--kworker/0:1,10,2,0,11,3898,70,0
--kworker/0:0H,11,2,0,13,4,0,0
--kworker/R-mm_pe,13,2,0,14,2,0,0
--rcu_tasks_kthre,14,2,0,15,2,0,0
--rcu_tasks_rude_,15,2,0,16,2,0,0
--rcu_tasks_trace,16,2,0,17,2,0,0
--ksoftirqd/0,17,2,0,18,1418,20,0
--rcu_preempt,18,2,0,19,16263,74,0
--rcu_exp_par_gp_,19,2,0,20,319,43,0
--rcu_exp_gp_kthr,20,2,0,21,647,92,0
--migration/0,21,2,0,22,423,0,0
--idle_inject/0,22,2,0,23,3,0,0
--cpuhp/0,23,2,0,24,14,0,0
--cpuhp/1,24,2,0,25,13,0,0
--idle_inject/1,25,2,0,26,3,0,0
--migration/1,26,2,0,27,407,0,0
--ksoftirqd/1,27,2,0,28,3334,28,0
--kworker/1:0,28,2,0,29,9,0,0
--kworker/1:0H,29,2,0,30,4,0,0
--cpuhp/2,30,2,0,31,13,1,0
--idle_inject/2,31,2,0,32,3,0,0
--migration/2,32,2,0,33,415,0,0
--ksoftirqd/2,33,2,0,35,2282,47,0
--kworker/2:0H,35,2,0,36,809,286,0
--cpuhp/3,36,2,0,37,13,1,0
--idle_inject/3,37,2,0,38,3,0,0
--migration/3,38,2,0,39,424,0,0
--ksoftirqd/3,39,2,0,41,3192,63,0
--kworker/3:0H,41,2,0,44,4,0,0
--kworker/u515:0,44,2,0,46,383,25,0
--kdevtmpfs,46,2,0,47,216,0,0
--kworker/R-inet_,47,2,0,48,2,0,0
--kauditd,48,2,0,49,183,0,0
--khungtaskd,49,2,0,50,11,0,0
--oom_reaper,50,2,0,51,2,0,0
--kworker/u513:1,51,2,0,52,939,246,0
--kworker/u513:2,52,2,0,53,706,43,0
--kworker/R-write,53,2,0,54,2,0,0
--kcompactd0,54,2,0,55,2281,0,0
--ksmd,55,2,0,56,2,0,0
--khugepaged,56,2,0,57,2,0,0
--kworker/R-kinte,57,2,0,58,2,0,0
--kworker/R-kbloc,58,2,0,59,2,0,0
--irq/9-acpi,59,2,0,62,2,1,0
--kworker/R-tpm_d,62,2,0,63,2,0,0
--kworker/R-ata_s,63,2,0,64,2,0,0
