- User-space buf. size: 100
- syscall return val:   325
- User-space buf. size: 200
- syscall return val:   325
- User-space buf. size: 400
- syscall return val:   325
--- OK ---

#comm,pid,ppid,fcldpid,nsblpid,nvcsw,nivcsw,stime
--kworker/0:0H,11,2,0,12,4,0,0
--kworker/u512:0,12,2,0,13,4,0,0
--kworker/R-mm_pe,13,2,0,14,2,0,0
--rcu_tasks_kthre,14,2,0,15,2,0,0
--rcu_tasks_rude_,15,2,0,16,2,0,0
--rcu_tasks_trace,16,2,0,17,2,0,0
--ksoftirqd/0,17,2,0,18,1375,39,0
--rcu_preempt,18,2,0,19,33876,14,0
--rcu_exp_par_gp_,19,2,0,20,350,32,0
--rcu_exp_gp_kthr,20,2,0,21,795,53,0
--migration/0,21,2,0,22,1791,0,0
--idle_inject/0,22,2,0,23,3,0,0
--cpuhp/0,23,2,0,24,15,0,0
--cpuhp/1,24,2,0,25,16,1,0
--idle_inject/1,25,2,0,26,3,0,0
--migration/1,26,2,0,27,1771,0,0
--ksoftirqd/1,27,2,0,29,1500,20,0
--kworker/1:0H,29,2,0,30,4,0,0
--cpuhp/2,30,2,0,31,14,1,0
--idle_inject/2,31,2,0,32,3,0,0
--migration/2,32,2,0,33,1787,0,0
--ksoftirqd/2,33,2,0,34,2046,37,0
--kworker/2:0,34,2,0,35,19590,76,0
--kworker/2:0H,35,2,0,36,30,3,0
--cpuhp/3,36,2,0,37,14,0,0
--idle_inject/3,37,2,0,38,3,0,0
--migration/3,38,2,0,39,1753,0,0
--ksoftirqd/3,39,2,0,40,2375,84,0
--kworker/3:0,40,2,0,41,15025,69,0
--kworker/3:0H,41,2,0,46,4,0,0
--kdevtmpfs,46,2,0,47,220,5,0
--kworker/R-inet_,47,2,0,48,2,0,0
--kauditd,48,2,0,49,183,0,0
--khungtaskd,49,2,0,50,54,0,0
--oom_reaper,50,2,0,52,2,0,0
--kworker/R-write,52,2,0,54,2,0,0
--kcompactd0,54,2,0,55,12841,0,0
--ksmd,55,2,0,56,2,0,0
--khugepaged,56,2,0,57,2,0,0
--kworker/R-kinte,57,2,0,58,2,0,0
